,flight_nbr,flight_time,flight_lat,flight_long
108,AC8775,1679258823,42.7029,-80.9818
109,AC8607,1679258824,42.6453,-71.2581
110,AC264,1679258815,43.6801,-79.6148
111,AC8359,1679258821,42.8961,-81.7217
112,AC8943,1679258818,41.8503,-73.3364
113,AC217,1679258822,50.7087,-116.7266
114,AC8272,1679258823,50.0878,-121.4576
115,AC116,1679258824,49.2472,-120.9188
116,AC8596,1679258824,48.157,-122.7693
117,AC7710,1679258823,44.4433,-77.4487
118,AC8712,1679258822,48.9178,-122.4339
119,AC420,1679258793,43.6811,-79.6154
120,AC589,1679258824,43.7331,-80.9463
121,AC8204,1679258824,44.9987,-81.512
122,AC8850,1679258823,45.3322,-92.0782
123,AC418,1679258821,43.5977,-79.1398
124,AC8736,1679258824,42.0044,-81.4558
125,AC245,1679258823,52.5356,-115.4732
126,AC8933,1679258821,40.602,-76.7808
127,AC8558,1679258823,38.4556,-122.0156
128,AC8879,1679258822,40.6337,-74.2477
129,AC931,1679258817,23.8256,-87.0999
130,AC376,1679258823,49.8601,-94.3627
131,AC8432,1679258823,46.4727,-80.8128
132,AC998,1679258823,20.9835,-105.3193
133,AC146,1679258824,51.1245,-113.5136
134,AC8754,1679258824,40.5844,-82.6216
135,AC8981,1679258823,43.6703,-79.6253
136,QK765,1679258822,32.7988,-117.3165
137,AC8424,1679258823,51.2797,-113.8546
138,AC567,1679258824,37.6285,-122.3929
139,QK58,1679258824,49.5425,-122.8442
140,AC1039,1679258798,43.6801,-79.6131
141,AC615,1679258824,45.0806,-65.0601
142,AC1049,1679258823,41.9949,-88.0334
143,AC8880,1679258824,43.6386,-79.7234
144,AC8134,1679258823,51.1019,-114.018
145,AC1205,1679258805,25.792,-80.2731
146,AC8994,1679258811,43.6808,-79.6224
147,AC957,1679258785,43.675,-79.6156
148,AC8570,1679258824,33.6417,-84.4224
149,AC1337,1679258823,12.0021,-61.7584
150,AC410,1679258821,45.4588,-73.7474
151,QK11,1679258823,45.4578,-73.7459
152,N/A,1679258807,17.6055,-101.4638
153,AC296,1679258822,49.1938,-123.1848
154,AC240,1679258823,49.1971,-123.1849
155,AC914,1679258785,43.6771,-79.61
156,AC760,1679258823,45.4593,-73.7495
157,AC8584,1679258823,42.2104,-83.365
0,AC33,1679262929,-31.5357,150.7601
1,AC7,1679262929,22.3075,113.9274
2,AC10,1679262863,43.6766,-79.6138
3,AC81,1679262922,43.6898,-79.6355
4,AC62,1679262926,52.9736,-92.9428
5,AC857,1679262928,46.0534,-76.9458
6,AC861,1679262926,61.412,-108.9099
7,AC545,1679262928,22.8503,-155.6307
8,AC517,1679262923,24.1894,-156.7781
9,AC535,1679262922,27.2984,-154.2275
10,AC843,1679262930,57.7076,-57.0019
11,AC1071,1679262929,41.7037,-100.1018
12,AC970,1679262929,20.678,-105.254
13,AC1422,1679262929,21.7076,-87.5243
14,AC789,1679262926,34.9958,-115.7427
15,AC113,1679262928,49.08,-106.4353
16,AC305,1679262929,49.9069,-113.9467
17,AC1253,1679262927,36.2506,-78.0069
18,AC1323,1679262929,41.7044,-78.5605
