,Request_datetime,Location,Datetime,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
110,1679246580,"45.4657,-73.7502",2023-03-19T13:00:00,-14.9,49.3,0,0,,0,0,50.2,21.5,230,1009.8,76,,636,2.3,6,,Partially cloudy,partly-cloudy-day,"CWVQ,CWIT,CWIZ,C8027,CWTA"
111,1679246583,"44.956,-75.0537",2023-03-19T13:00:00,-15.7,46.3,0,0,,0,0,36.1,26.9,266,1012.9,88,16,425,1.5,4,,Partially cloudy,partly-cloudy-day,"CXKE,KMSS,CTCK,BFAN6"
112,1679246582,"47.9907,-122.603",2023-03-19T10:00:00,1.7,57.1,0,0,,0,0,,6.9,20,1008.9,22.4,16,153,0.6,2,,Partially cloudy,partly-cloudy-day,"KPWT,E4664,KBVS,KNOW,KBFI,KPAE,KAWO"
113,1679246581,"41.6274,-73.3324",2023-03-19T13:00:00,-13.2,34.5,0,0,,0,0,43.7,24.7,279,1015,53.9,16,493,1.8,5,,Partially cloudy,partly-cloudy-day,"KDXR,C0465,KMMK,KOXC"
114,1679246583,"30.5123,-95.7191",2023-03-19T12:00:00,-5.5,32.6,0,0,,0,0,,10.5,360,1034.5,0,16,614,2.2,6,,Clear,clear-day,"F8756,KDWH,KUTS,KCXO"
115,1679246582,"48.9935,-112.3361",2023-03-19T11:00:00,-5.9,69.1,0,0,,0,0,,13.6,330,1017.9,0,16,531,1.9,5,,Clear,clear-day,"CWRY,KCTB,CXDB,D0975"
116,1679246581,"49.1672,-122.8748",2023-03-19T10:00:00,1.2,61.3,0,0,,0,0,,1.6,360,1010.2,85,,200,0.7,2,,Partially cloudy,partly-cloudy-day,"CWWA,D1341,CWWK,CWMM"
117,1679246582,"42.2095,-79.8802",2023-03-19T13:00:00,-10.2,54.7,0,0,,0,0,41.5,28.4,261,1021.5,98.2,15.6,283,1,3,,Overcast,cloudy,"KERI,F4070,KDKK,KJHW"
118,1679246582,"50.2201,-114.8465",2023-03-19T11:00:00,-9.8,54.7,0,0,,0,0,,2.2,4,1018.2,13,,426,1.5,4,,Clear,clear-day,"CWXN,CWRT,CNPK,CWGW"
119,1679246582,"48.2906,-122.8753",2023-03-19T10:00:00,1.9,60.6,0,0,,0,0,,13.2,28,1009.3,19.2,16,227,0.8,2,,Clear,clear-day,"D7371,CWPF,KFHR,KBVS,KNOW,CWLM,CWYJ"
120,1679246579,"49.1968,-123.1931",2023-03-19T10:00:00,1.6,60.7,0,0,,0,0,,0.5,2,1010,83,,216,0.8,2,,Partially cloudy,partly-cloudy-day,"CWWA,CWWK,CWMM,F1856"
121,1679246582,"42.5475,-73.3442",2023-03-19T13:00:00,-14,42.9,0,0,,0,0,50.6,32.4,290,1012.4,100,16,782,2.8,8,,Overcast,cloudy,"E6283,KPSF,KDDH,KAQW"
122,1679246581,"51.7504,-114.3661",2023-03-19T11:00:00,-12.5,57.5,0,0,,0,0,,9.5,294,1020,33,,490,1.8,5,,Partially cloudy,partly-cloudy-day,"CWAV,CWHI,CXOL,E2516"
123,1679246582,"45.3265,-72.0968",2023-03-19T13:00:00,-11.5,73.5,0,0,,0,0,40.7,29,270,1007.6,81,,592,2.1,6,,Partially cloudy,partly-cloudy-day,"CWQH,CMGB,F0786,CWTT"
124,1679246583,"49.1854,-123.1604",2023-03-19T10:00:00,1.6,60.5,0,0,,0,0,,0.7,2,1010,84,,216,0.8,2,,Partially cloudy,partly-cloudy-day,"CWWA,CWWK,CWMM,F1856"
125,1679246581,"40.68,-77.4365",2023-03-19T13:00:00,-12.8,40.2,0,0,,0,0,43.9,29.3,304,1019.8,91.7,16,324,1.2,3,,Overcast,cloudy,"KUNV,KSEG,KCXY,0676W"
126,1679246582,"48.5672,-123.0052",2023-03-19T10:00:00,1.9,60.1,0,0,,0,0,,9.4,350,1009.4,0,15.8,227,0.8,2,,Clear,clear-day,"D7371,KFHR,KORS,CWEZ"
127,1679246580,"45.4213,-73.9764",2023-03-19T13:00:00,-15,49,0,0,,0,0,53.4,31.3,248,1010.3,75,,438,1.6,4,,Partially cloudy,partly-cloudy-day,"CWVQ,CWIT,F4610,CWTA"
128,1679246582,"49.5313,-122.9321",2023-03-19T10:00:00,1.6,64.4,0,0,,0,0,,2.1,353,1010.4,76,,175,0.6,2,,Partially cloudy,partly-cloudy-day,"CWWA,CWSK,E6810,CWMM"
